file_path,state,size_bytes,md5,page_count,class,reason,status,digital_guess,lang_guess,lang_source,lang_conf,lang_votes,garbled_detected
data/POP Bank/Maharashtra/BPMR-145.pdf,Maharashtra,141265,467664dbf08eeb289053b828eac0f527,1.0,digital_en,len=2184 lang=am score=-14476.75 decision=digital_threshold,processed,True,indic,osd,0.8,indic,True
data/POP Bank/Maharashtra/BSMR-736.pdf,Maharashtra,166318,9e1c40f66e1fcfe77ec2eed23b8bcefc,2.0,digital_en,len=3552 lang=am score=-24345.26 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/BSMR-853.pdf,Maharashtra,150544,541901752ddffc0679ccb8c12b695b95,2.0,digital_en,len=3594 lang=am score=-24598.36 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Bhendi.pdf,Maharashtra,255617,4bcc52ef7de3acbe6806aa2f2d165434,2.0,digital_en,len=2971 lang=am score=-20045.09 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Black-Gram.pdf,Maharashtra,142653,22b59b7fafc95e1c516a59c30d718497,2.0,digital_en,len=2328 lang=am score=-15328.84 decision=digital_threshold,processed,True,indic,osd,0.8,indic;unsure,True
data/POP Bank/Maharashtra/CSH-25.pdf,Maharashtra,198217,9cc3121e4383daafa134eadf0447f06b,3.0,digital_en,len=4909 lang=am score=-27717.94 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/CSV-18.pdf,Maharashtra,136870,54fdbddeb2953f07d81504ad5d395b10,3.0,digital_en,len=5365 lang=am score=-26862.85 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Custard-Apple.pdf,Maharashtra,187712,dae349bf501d144aeb524db27b3ce2f0,3.0,digital_en,len=6145 lang=am score=-28013.26 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-01.pdf,Maharashtra,283812,172f50066fa74f5558d047505f7283f2,3.0,digital_en,len=6006 lang=am score=-26501.30 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-02.pdf,Maharashtra,177683,c46a00af8dde4139753d2ff5071031e7,3.0,digital_en,len=5295 lang=am score=-26647.70 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-123.pdf,Maharashtra,293939,34f6321baa89b05992568b6a19da615e,3.0,digital_en,len=5604 lang=am score=-26261.16 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Groundnut-45.pdf,Maharashtra,274016,230ef21d7e19b55e8aae41ff0ce41ec3,3.0,digital_en,len=5526 lang=am score=-26572.58 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Insecticide_Triangle_Final.pdf,Maharashtra,100036,a66630baad3c608a5aeb2c6fabdfe629,1.0,scanned_en,len=170 lang=mr score=-1104.68 decision=scanned_low_text,pending,False,indic,osd,0.6149,indic,False
data/POP Bank/Maharashtra/Insecticide_Triangle_Final_v1.pdf,Maharashtra,100036,a66630baad3c608a5aeb2c6fabdfe629,1.0,scanned_en,len=170 lang=mr score=-1104.68 decision=scanned_low_text,pending,False,indic,osd,0.6149,indic,False
data/POP Bank/Maharashtra/Linseed-93.pdf,Maharashtra,349638,460fe1ace37dbc95f4277f71cc61cdd7,2.0,digital_en,len=3654 lang=am score=-24311.68 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Linseed-RLC-04.pdf,Maharashtra,420759,e5c6bffe187934e4a67bd884db3cae8c,2.0,digital_en,len=3657 lang=am score=-24465.84 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-158.pdf,Maharashtra,262773,b58730b168013059dd8252136328591f,4.0,digital_en,len=6017 lang=am score=-26511.13 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-162.pdf,Maharashtra,241135,bd33e0ada5781ca36d4087ed594df6b9,4.0,digital_en,len=6025 lang=am score=-26446.09 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-612.pdf,Maharashtra,238564,0f5de00a16d1793d7627d1401c5abe44,4.0,digital_en,len=6017 lang=am score=-26460.14 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-71.pdf,Maharashtra,245963,77efcbe70c3e6e598ab7ddb0c9fc8847,4.0,digital_en,len=6030 lang=am score=-26451.74 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/MAUS-81.pdf,Maharashtra,230658,a32b193b0cfadbf9d11321267727f40f,4.0,digital_en,len=6021 lang=am score=-26517.98 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Maha Agri-AI Policy_Marathi.pdf,Maharashtra,10518552,413d0b39cb4db528309e6505cb485b28,48.0,digital_en,len=969 lang=mr score=-5291.59 decision=digital_threshold,pending,True,indic,osd,0.4493,indic;unsure,False
data/POP Bank/Maharashtra/Maha Agri-AI Policy_Marathi_v1.pdf,Maharashtra,10518552,413d0b39cb4db528309e6505cb485b28,48.0,digital_en,len=969 lang=mr score=-5291.59 decision=digital_threshold,pending,True,indic,osd,0.4493,indic;unsure,False
data/POP Bank/Maharashtra/MahaParwana_Firms_Data_Seed_7_QC.pdf,Maharashtra,1386708,ba79c82ae06f8104ecfc9b88a4762d92,17.0,digital_en,len=11854 lang=jv score=-1865.80 decision=digital_threshold,pending,True,unsure,osd,0.2173,unsure;unsure,False
data/POP Bank/Maharashtra/MahaParwana_Firms_Data_Seed_7_QC_v1.pdf,Maharashtra,1386708,ba79c82ae06f8104ecfc9b88a4762d92,17.0,digital_en,len=11854 lang=jv score=-1865.80 decision=digital_threshold,pending,True,unsure,osd,0.2173,unsure;unsure,False
data/POP Bank/Maharashtra/Mirchi.pdf,Maharashtra,275859,32a9b0c6647eda1c767b3fd5f5624356,2.0,digital_en,len=3590 lang=am score=-23593.22 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/Muktta.pdf,Maharashtra,186682,668eb9e8139e0c4db25446c9a51b4371,2.0,digital_en,len=1609 lang=am score=-10193.95 decision=digital_threshold,processed,True,indic,osd,0.8,indic;unsure,True
data/POP Bank/Maharashtra/NH-452-(Renuka).pdf,Maharashtra,215943,a251ecb6daa2956ced3b14fa7862dfea,2.0,digital_en,len=3026 lang=am score=-19094.50 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-545.pdf,Maharashtra,215624,dad05aee32b0d51927536b23bd0feb40,2.0,digital_en,len=2966 lang=am score=-18913.21 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-615-(Anusaya).pdf,Maharashtra,245603,4ecc2ac1bc659ed17e07f6fd19917147,2.0,digital_en,len=3130 lang=am score=-19885.18 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NH-635.pdf,Maharashtra,230416,26e926992a7acaa505c6495c899a8007,2.0,digital_en,len=3053 lang=am score=-19326.41 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-250.pdf,Maharashtra,193343,dd4918f8d0c325687ba8c7cbd9197740,2.0,digital_en,len=3469 lang=am score=-22013.69 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-44.pdf,Maharashtra,173022,850369aebe8a79cbe2f256afd37ada68,2.0,digital_en,len=3644 lang=am score=-22744.71 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/NHH-715.pdf,Maharashtra,261575,8f79e6b59c964159cdde0c3c18c9a5fd,2.0,digital_en,len=3457 lang=am score=-22002.42 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/No-263.pdf,Maharashtra,200785,6c96d97e3b218143e18f138acc18a1fd,2.0,digital_en,len=1732 lang=am score=-11064.63 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-08.pdf,Maharashtra,119250,dc54a25e4d04e564246603aab90f83e8,3.0,digital_en,len=4791 lang=am score=-25927.70 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-141-(Namdeo).pdf,Maharashtra,118923,5af932471030481cc25404b48e5f000e,2.0,digital_en,len=4675 lang=am score=-25957.22 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-183-(Sawta).pdf,Maharashtra,118743,fb80ac4720b79e627da4caf34d5256f9,2.0,digital_en,len=4728 lang=am score=-25831.79 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
data/POP Bank/Maharashtra/PA-255-(Parbhani-Turab).pdf,Maharashtra,120903,395a55a575aa13ee7e27914f926bd3f3,2.0,digital_en,len=4719 lang=am score=-25920.57 decision=digital_threshold,processed,True,indic,osd,0.8,indic;indic,True
